Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
KONAWE SELATAN,SULAWESI TENGGARA,14/12/2021,319929,322,1012,670,3.163202,0.0,314.2857142857143,0.8600469116497262
KONAWE UTARA,SULAWESI TENGGARA,14/12/2021,64965,63,379,370,5.833911,0.0,601.5873015873016,10.278745644599303
KOTA AMBON,MALUKU,14/12/2021,474158,476,5704,13066,12.029745,0.0,1198.3193277310925,1.1089911757691389
KOTA BALIKPAPAN,KALIMANTAN TIMUR,14/12/2021,642406,644,14985,32509,23.32637,0.013347,2326.863354037267,0.8834552918079601
KOTA BANDA ACEH,ACEH,14/12/2021,276216,4144,2115,5459,7.657051,0.0,51.03764478764479,4.185623293903549
KOTA BANDAR LAMPUNG,LAMPUNG,14/12/2021,1088924,1092,11607,17087,10.659146,0.060308,1062.912087912088,1.3588872508172554
KOTA BANDUNG,JAWA BARAT,14/12/2021,2576050,2576,25596,49796,9.936143,0.234412,993.6335403726708,2.4695096770641194
KOTA BANJAR,JAWA BARAT,14/12/2021,188305,189,659,435,3.499642,0.0,348.6772486772487,3.005780346820809
KOTA BANJARBARU,KALIMANTAN SELATAN,14/12/2021,273489,4102,3202,5536,11.707966,0.0,78.0594831789371,0.33835222466587717
KOTA BANJARMASIN,KALIMANTAN SELATAN,14/12/2021,714167,714,6309,15408,8.834068,0.0,883.6134453781514,0.8605675647986887
KOTA BATAM,KEP. RIAU,14/12/2021,1543233,1540,24145,36013,15.645726,0.0,1567.857142857143,0.8075218115594206
KOTA BATU,JAWA TIMUR,14/12/2021,211225,3171,1421,1825,6.727423,0.140746,44.81236203090508,1.2078510317060895
KOTA BAU BAU,SULAWESI TENGGARA,14/12/2021,171628,175,1685,3565,9.817745,0.0,962.8571428571428,0.3970004411116012
KOTA BEKASI,JAWA BARAT,14/12/2021,3056932,45857,31570,40026,10.327348,0.031676,68.84445122882002,1.2514435695538058
KOTA BENGKULU,BENGKULU,14/12/2021,375183,378,4066,7022,10.837378,0.0,1075.6613756613756,0.901051226430836
KOTA BIMA,NTB,14/12/2021,183790,182,1664,2226,9.053811,0.0,914.2857142857142,2.6226323457989316
KOTA BINJAI,SUMATERA UTARA,14/12/2021,284161,231,1381,1310,4.859921,0.0,597.8354978354979,9.822309970384994
KOTA BITUNG,SULAWESI UTARA,14/12/2021,223545,224,1653,2054,7.394484,0.0,737.9464285714286,0.9325044404973356
KOTA BLITAR,JAWA TIMUR,14/12/2021,143840,147,1298,1312,9.023915,0.0,882.9931972789116,1.5365703749231714
KOTA BOGOR,JAWA BARAT,14/12/2021,1108156,1106,9575,22379,8.64048,0.052219,865.7323688969259,1.372166543351046
KOTA BONTANG,KALIMANTAN TIMUR,14/12/2021,182784,2744,3634,4323,19.88139,0.275179,132.43440233236151,2.1218218401316995
KOTA BUKITTINGGI,SUMATERA BARAT,14/12/2021,136468,133,987,2295,7.232465,0.0,742.1052631578948,1.3342696629213482
KOTA CILEGON,BANTEN,14/12/2021,447478,448,2693,3669,6.018173,0.074267,601.1160714285714,8.99922420480993
